post_id,user_id,content,post_date
1,1,Excited to join this social network!,2023-01-02
2,2,Just posted my first photo!,2023-02-16
3,3,Feeling inspired today.,2023-03-21
4,4,Happy Friday everyone!,2023-04-11
5,5,Enjoying the weekend vibes.,2023-05-06
6,1,Loving the weather today!,2023-06-15
7,2,New recipe alert!,2023-07-20
8,3,Excited for my upcoming trip!,2023-08-25
9,4,Movie night with friends!,2023-09-30
10,5,Reflecting on the week.,2023-10-05
11,1,Ready for the holidays!,2023-11-10
12,2,Exploring new hobbies.,2023-12-15
13,3,Productivity tips for the week.,2024-01-20
14,4,Fitness journey update.,2024-02-25
15,5,Weekend getaway adventures.,2024-03-30
16,1,Trying out new restaurants.,2024-04-05
17,2,Book recommendations.,2024-05-10
18,3,DIY home improvement projects.,2024-06-15
19,4,Music festival memories.,2024-07-20
20,5,Reflecting on personal growth.,2024-08-25
